customer_id,name,gender,dob,phone,email,city,state,signup_date,customer_segment,support_tickets_count
CUST00001,Aryan Maharaj,M,1972-05-22,1819600133,onikannan@example.com,Chennai,Tripura,2025-12-25,Retail,2
CUST00002,Harini Mall,M,1968-02-05,1161559407,memonjanaki@example.net,Coimbatore,Arunachal Pradesh,2025-07-24,Retail,1
CUST00003,Fariq Kaul,F,2002-03-24,4752553419,turviraghavan@example.com,Anantapur,Uttarakhand,2025-11-15,Retail,0
CUST00004,Veer Balay,M,1999-04-12,4139537672,priya96@example.com,Durgapur,Mizoram,2025-01-26,Retail,1
CUST00005,Imaran Dua,M,1990-10-02,9166978480,isaac46@example.org,Delhi,Telangana,2026-03-09,Premium,1
CUST00006,Xiti Gokhale,M,1985-01-01,4893252880,choudhuryjanani@example.com,Howrah,Haryana,2026-03-12,Retail,1
CUST00007,Frederick Sunder,M,1999-10-21,2782489638,raksha87@example.org,Kamarhati,Assam,2024-08-14,Retail,3
CUST00008,Thomas Amble,M,1964-01-16,3105183473,ykibe@example.com,Jhansi,Bihar,2023-12-01,Merchant-linked,0
CUST00009,Irya Sampath,F,1980-05-14,1065133387,turvi31@example.com,Dhanbad,Rajasthan,2026-07-19,Retail,1
CUST00010,Girik Khalsa,M,1968-08-13,7360260647,mdubey@example.com,Howrah,Odisha,2025-10-11,Retail,0
CUST00011,Dipta Bhandari,M,1963-01-16,8820812191,balveerbumb@example.com,Bhilwara,Gujarat,2025-08-02,Merchant-linked,1
CUST00012,William Lanka,M,1979-08-19,7510799118,ikshitabiswas@example.org,Anantapuram,Goa,2024-11-28,Premium,1
CUST00013,Abhiram Mistry,M,2005-05-11,2411824493,dkrishnamurthy@example.org,Bally,Arunachal Pradesh,2023-08-23,Retail,1
CUST00014,Adweta Edwin,M,1996-03-19,8011280598,morarjanya@example.org,Bhagalpur,Sikkim,2024-05-11,Premium,1
CUST00015,Irya Ray,M,2007-05-19,3226025634,singhaltristan@example.org,Etawah,Jharkhand,2026-01-09,Retail,3
CUST00016,Udant Bajwa,M,1992-04-25,5414586850,balvan19@example.com,Satara,Maharashtra,2025-05-26,Premium,1
CUST00017,Lekha Gupta,F,1972-11-10,883561595,nilima56@example.net,Begusarai,Chhattisgarh,2024-03-11,Retail,0
CUST00018,Owen Mitra,M,1980-02-16,4436995777,fradomander@example.net,Tiruchirappalli,Uttarakhand,2026-05-29,Retail,0
CUST00019,Dayita Kar,F,1999-05-08,37917693,manbirahluwalia@example.org,Muzaffarnagar,Goa,2025-12-23,Retail,0
CUST00020,Chandresh Krish,F,2004-09-03,7278895798,vaishnavisengupta@example.com,Bally,Tripura,2025-11-25,Retail,4
CUST00021,William Maharaj,M,1981-09-30,3455812236,vreddy@example.net,Vijayanagaram,Arunachal Pradesh,2024-03-27,Retail,1
CUST00022,Lopa Bahri,M,2001-10-04,7054668893,bsunder@example.com,Machilipatnam,Telangana,2024-02-11,Retail,2
CUST00023,Joshua Walla,F,1961-12-05,9901627204,vnarain@example.com,Bidar,Himachal Pradesh,2026-01-25,Retail,1
CUST00024,Anirudh Zacharia,F,1963-02-19,3100330923,udyatikunda@example.com,Medininagar,Punjab,2026-06-11,Premium,1
CUST00025,Nihal Mukhopadhyay,F,1965-10-28,4966319314,palanpriya@example.net,Coimbatore,Mizoram,2025-07-09,Retail,0
CUST00026,Osha Suri,M,1965-09-13,7262849877,yatan14@example.com,Madhyamgram,Odisha,2025-05-31,Premium,0
CUST00027,Gayathri Balakrishnan,M,1984-05-12,2735454948,khurananiharika@example.com,Fatehpur,Rajasthan,2025-09-16,Retail,0
CUST00028,Anay Chander,F,1974-10-04,3495788568,damini43@example.org,Satna,Bihar,2025-10-19,Retail,1
CUST00029,Rehaan Kalita,M,1996-02-02,9894134352,anushabath@example.org,Cuttack,Rajasthan,2026-03-01,Retail,1
